Cost Center,L2,L3,Entity,CostBucket,Period,MKT Total Cost,MKT Internal Cost,Manual adjustment,MKT External Cost,Chargeable total cost,Chargeable external cost,Chargeable internal cost,Chargeable internal cost + Markup,Total non chargeable cost,Total cost Post Markup,Dell/EMC,Dell,EMC
U010001429,L2 Mktg BU Mktg,L3 Mktg GFP Partner,U010,CORPORATE MKT OTHER,Q3 FY25,29100000,19788000,0,9312000,10767000,3445440,7321560,8053716,18333000,18820716,EMC,2543340,7630020
U010001430,L2 Mktg Brand,L3 Mktg Digital,U010,CORPORATE MKT,Q3 FY25,12500000,6750000,0,5750000,6875000,3162500,3712500,4083750,5625000,10958750,EMC,11520635,8005865
U010001432,L2 Mktg Field Partner AMER,L3 Mktg FP NA,U010,CORPORATE MKT OTHER,Q3 FY25,-103000000,-86520000,0,-16480000,-23690000,-3790400,-19899600,-21889560,-79310000,-45579560,EMC,-27644994,-156654966
U010001433,L2 Mktg BU Mktg,L3 Mktg GFP Partner,U010,CORPORATE MKT OTHER,Q3 FY25,11640000,11523600,0,116400,1164000,11640,1152360,1267596,10476000,2431596,EMC,194527.68,4668664.32
U010001435,L2 Mktg BU Mktg,L3 Mktg Services DFS Mktg,U010,CORPORATE MKT OTHER,Q3 FY25,11400000,1482000,0,9918000,5358000,4661460,696540,766194,6042000,6124194,EMC,2517434.64,218907.36
U010001436,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q3 FY25,12600000,10332000,0,2268000,7182000,1292760,5889240,6478164,5418000,13660164,EMC,10966475.52,1495428.48
U010001437,L2 Mktg Brand,L3 Mktg Experiential,U010,CORPORATE MKT,Q3 FY25,11280000,1353600,0,9926400,6880800,6055104,825696,908265.6,4399200,7789065.6,EMC,135350.976,6632197.824
U010001438,L2 Mktg BU Mktg,L3 Mktg CSG Pan Dell MSGNG,U010,CORPORATE MKT OTHER,Q3 FY25,-2571396.18,-2237114.677,0,-334281.5034,-385709.427,-50142.22551,-335567.2015,-369123.9216,-2185686.753,-754833.3486,EMC,-46799.66762,-3522.555627
U010001439,L2 Mktg BU Mktg,L3 Mktg CSG Pan Dell MSGNG,U010,CORPORATE MKT OTHER,Q3 FY25,6571781.14,2957301.513,0,3614479.627,4863118.044,2674714.924,2188403.12,2407243.432,1708663.096,7270361.475,EMC,636647.8697,2900284.74
U010001440,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q3 FY25,2066989.5,165359.16,0,1901630.34,2066989.5,1901630.34,165359.16,181895.076,0,2248884.576,EMC,1453004.325,143703.7244
U010001443,L2 Mktg Online,L3 Mktg CSB GLB,U010,SBU MKT CS,Q3 FY25,-2946246,-265162.14,0,-2681083.86,-176774.76,-160865.0316,-15909.7284,-17500.70124,-2769471.24,-194275.4612,EMC,-559837.1208,-55368.50645
U010001444,L2 Mktg Glb SB GDC,L3 Mktg GFP CGM,U010,CORPORATE MKT OTHER,Q3 FY25,-8046892.26,-7242203.034,0,-804689.226,-5230479.969,-523047.9969,-4707431.972,-5178175.169,-2816412.291,-10408655.14,EMC,-105687.8829,-5178706.264
U010001445,L2 Mktg Field Partner AMER,L3 Mktg FP NA,U010,CORPORATE MKT OTHER,Q3 FY25,-8046337.2,-2977144.764,0,-5069192.436,-80463.372,-50691.92436,-29771.44764,-32748.5924,-7965873.828,-113211.9644,EMC,-3043137.603,-4202428.119
U010001446,L2 Mktg Field Partner AMER,L3 Mktg FP NA,U010,CORPORATE MKT OTHER,Q3 FY25,-8113818.24,-892520.0064,0,-7221298.234,-4138047.302,-3682862.099,-455185.2033,-500703.7236,-3975770.938,-4638751.026,EMC,-2219324.02,-3328986.03
U010001447,L2 Mktg Field Partner AMER,L3 Mktg FP NA,U010,CORPORATE MKT OTHER,Q3 FY25,2638674,738828.72,0,1899845.28,0,0,0,0,2638674,0,EMC,72479.09743,134604.0381
U010001448,L2 Mktg Field Partner AMER,L3 Mktg FP NA,U010,CORPORATE MKT OTHER,Q3 FY25,4873042.83,1997947.56,0,2875095.27,3216208.268,1897562.878,1318645.39,1450509.929,1656834.562,4666718.197,EMC,2375783.809,4412169.931
U010001451,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,CORPORATE MKT OTHER,Q3 FY25,-9978294.95,-1696310.142,0,-8281984.809,-4091100.93,-3395613.771,-695487.158,-765035.8738,-5887194.021,-4856136.803,EMC,-2901837.846,-8705513.538
U010001452,L2 Mktg Central,L3 Mktg Central,U010,CORPORATE MKT OTHER,Q3 FY25,-2538237.82,-2487473.064,0,-50764.7564,-761471.346,-15229.42692,-746241.9191,-820866.111,-1776766.474,-1582337.457,EMC,-713106.7473,-658252.3821
U010001455,L2 Mktg Field Partner APJC,L3 Mktg FP Central APJC,U010,CORPORATE MKT OTHER,Q3 FY25,8599001.5,8599001.5,0,0,257970.045,0,257970.045,283767.0495,8341031.455,541737.0945,EMC,592299.2233,852333.0287
U010001457,L2 Mktg Brand,L3 Mktg Brand,U010,CORPORATE MKT,Q3 FY25,752035,45122.1,0,706912.9,225610.5,212073.87,13536.63,14890.293,526424.5,240500.793,EMC,162257.8683,543211.1245
U010001462,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q3 FY25,-3863726.23,-3593265.394,0,-270460.8361,-3477353.607,-243414.7525,-3233938.855,-3557332.74,-386372.623,-7034686.347,EMC,-2854519.393,-584660.5986
U010001463,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q3 FY25,0,0,0,0,0,0,0,0,0,0,EMC,0,0
U010001464,L2 Mktg BU Mktg,L3 Mktg GFP Partner,U010,CORPORATE MKT OTHER,Q3 FY25,6391596.2,3323630.024,0,3067966.176,4218453.492,2024857.676,2193595.816,2412955.397,2173142.708,6631408.889,EMC,2089898.559,4441034.438
U010001465,L2 Mktg BU Mktg,L3 Mktg GFP Partner,U010,CORPORATE MKT OTHER,Q3 FY25,8091127,1780047.94,0,6311079.06,5340143.82,4165312.18,1174831.64,1292314.804,2750983.18,6632458.624,EMC,108531.1411,5318025.915
U010001468,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q3 FY25,-3508628.55,-701725.71,0,-2806902.84,-2912161.697,-2329729.357,-582432.3393,-640675.5732,-596466.8535,-3552837.27,EMC,-2136838.994,-602698.1778
U010001471,L2 Mktg Field Partner AMER,L3 Mktg FP NA,U010,CORPORATE MKT OTHER,Q3 FY25,10550738.62,738551.7034,0,9812186.917,2004640.338,1864315.514,140324.8236,154357.306,8546098.282,2158997.644,EMC,2240812.291,1054499.902
U010001472,L2 Mktg BU Mktg,L3 Mktg GFP Partner,U010,CORPORATE MKT OTHER,Q3 FY25,-1096893.42,-482633.1048,0,-614260.3152,-1042048.749,-583547.2994,-458501.4496,-504351.5945,-54844.671,-1546400.344,EMC,-427132.0528,-93760.69451
U010001473,L2 Mktg Brand,L3 Mktg Brand Dell Blue,U010,CORPORATE MKT,Q3 FY25,-5734720.64,-3555526.797,0,-2179193.843,-401430.4448,-152543.569,-248886.8758,-273775.5634,-5333290.195,-675206.0082,EMC,-5860788.151,-3592095.963
U010001474,L2 Mktg BU Mktg,L3 Mktg Strategy Ops SSvs,U010,CORPORATE MKT OTHER,Q3 FY25,6746808,2563787.04,0,4183020.96,3710744.4,2300661.528,1410082.872,1551091.159,3036063.6,5261835.559,EMC,3558914.233,2372609.489
U010001476,L2 Mktg Glb SB GDC,L3 Mktg CDMT,U010,CORPORATE MKT OTHER,Q3 FY25,984078.4,885670.56,0,98407.84,679014.096,67901.4096,611112.6864,672223.955,305064.304,1351238.051,EMC,970541.4175,674444.0359
U010001479,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q3 FY25,2390144.02,1649199.374,0,740944.6462,1625297.934,503842.3594,1121455.574,1233601.132,764846.0864,2858899.065,EMC,0,3153197.498
U010001480,L2 Mktg Corp Affairs,L3 Mktg Social Business,U010,CORPORATE MKT OTHER,Q3 FY25,-5874060,-2878289.4,0,-2995770.6,-1879699.2,-958646.592,-921052.608,-1013157.869,-3994360.8,-2892857.069,EMC,-3737209.726,-1054084.794
U010001481,L2 Mktg Brand,L3 Mktg Experiential,U010,CORPORATE MKT,Q3 FY25,-6793701.12,-5570834.918,0,-1222866.202,-6250205.03,-1125036.905,-5125168.125,-5637684.937,-543496.0896,-11887889.97,EMC,-2552019.857,-678385.0253
U010001482,L2 Mktg Central,L3 Mktg Central,U010,CORPORATE MKT OTHER,Q3 FY25,2484285.3,1962585.387,0,521699.913,2360071.035,495614.9174,1864456.118,2050901.729,124214.265,4410972.764,EMC,2175770.355,888694.9338
U010001483,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,CORPORATE MKT OTHER,Q3 FY25,-6858803.94,-891644.5122,0,-5967159.428,-1165996.67,-1014417.103,-151579.5671,-166737.5238,-5692807.27,-1332734.194,EMC,-878036.6452,-689885.9355
U010001484,L2 Mktg BU Mktg,L3 Mktg CSG Pan Dell MSGNG,U010,CORPORATE MKT OTHER,Q3 FY25,-6291642.6,-1635827.076,0,-4655815.524,-2139158.484,-1582977.278,-556181.2058,-611799.3264,-4152484.116,-2750957.81,EMC,-614110.8759,-4968715.269
U010001486,L2 Mktg BU Mktg,L3 Mktg GFP Partner,U010,CORPORATE MKT OTHER,Q3 FY25,4811662.8,1539732.096,0,3271930.704,2261481.516,1537807.431,723674.0851,796041.4936,2550181.284,3057523.01,EMC,101483.7424,288838.3439
U010001489,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q3 FY25,8376242.88,3266734.723,0,5109508.157,1759011.005,1072996.713,686014.2919,754615.7211,6617231.875,2513626.726,EMC,8415861.671,1040162.678
U010001490,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q3 FY25,-4028690.06,-2094918.831,0,-1933771.229,-1692049.825,-812183.9161,-879865.9091,-967852.5,-2336640.235,-2659902.325,EMC,-119062.2946,-5834052.433
U010001491,L2 Mktg Brand,L3 Mktg Campaigns,U010,SBU MKT CS,Q3 FY25,5146336.8,2573168.4,0,2573168.4,3448045.656,1724022.828,1724022.828,1896425.111,1698291.144,5344470.767,EMC,4700741.228,1920021.065
U010001493,L2 Mktg Brand,L3 Mktg Experiential,U010,CORPORATE MKT,Q3 FY25,-3911183.56,-391118.356,0,-3520065.204,-1603585.26,-1443226.734,-160358.526,-176394.3786,-2307598.3,-1779979.638,EMC,-807502.9578,-538335.3052
U010001494,L2 Mktg Brand,L3 Mktg Experiential,U010,CORPORATE MKT OTHER,Q3 FY25,738202.68,310045.1256,0,428157.5544,243606.8844,141291.993,102314.8914,112546.3806,494595.7956,356153.265,EMC,391444.8158,29463.58829
U010001495,L2 Mktg BU Mktg,L3 Mktg GFP Partner,U010,SBU MKT CS,Q3 FY25,-5290849.25,-3333235.028,0,-1957614.223,-2645424.625,-978807.1113,-1666617.514,-1833279.265,-2645424.625,-4478703.89,EMC,-5361008.556,-282158.3451
U010001496,L2 Mktg Glb SB GDC,L3 Mktg GFP GBICP,U010,CORPORATE MKT OTHER,Q3 FY25,0,0,0,0,0,0,0,0,0,0,EMC,0,0
U010001497,L2 Mktg Brand,L3 Mktg Experiential,U010,CORPORATE MKT,Q3 FY25,7020158.52,3790885.601,0,3229272.919,3369676.09,1550051.001,1819625.088,2001587.597,3650482.43,5371263.687,EMC,6364947.469,2475257.349
U010001500,L2 Mktg Glb SB GDC,L3 Mktg CDMT,U010,CORPORATE MKT OTHER,Q3 FY25,6808471.16,5174438.082,0,1634033.078,3268066.157,784335.8776,2483730.279,2732103.307,3540405.003,6000169.464,EMC,4400124.274,5600158.166
U010001503,L2 Mktg Glb SB GDC,L3 Mktg GFP GBICP,U010,CORPORATE MKT OTHER,Q3 FY25,2812194.28,2784072.337,0,28121.9428,2643462.623,26434.62623,2617027.997,2878730.797,168731.6568,5522193.42,EMC,232637.0845,5583290.028
U010001504,L2 Mktg Glb SB GDC,L3 Mktg CDMT,U010,CORPORATE MKT OTHER,Q3 FY25,5666437.44,849965.616,0,4816471.824,5269786.819,4479318.796,790468.0229,869514.8252,396650.6208,6139301.644,EMC,1062825.338,1247664.528
U010001506,L2 Mktg Corp Affairs,L3 Mktg Corp BU PR,U010,CORPORATE MKT OTHER,Q3 FY25,10401305.22,1768221.887,0,8633083.333,4472561.245,3712225.833,760335.4116,836368.9527,5928743.975,5308930.197,EMC,1737131.346,855602.0062
U010001507,L2 Mktg Corp Affairs,L3 Mktg Intl GTMPart Comms,U010,CORPORATE MKT OTHER,Q3 FY25,2835042.73,1842777.775,0,992264.9555,2409786.321,843425.2122,1566361.108,1722997.219,425256.4095,4132783.54,EMC,461899.3368,24310.49141
U010001508,L2 Mktg Corp Affairs,L3 Mktg Exec Internal Comm,U010,CORPORATE MKT OTHER,Q3 FY25,3097239.6,526530.732,0,2570708.868,2477791.68,2056567.094,421224.5856,463347.0442,619447.92,2941138.724,EMC,3314663.342,67646.19066
U010001509,L2 Mktg Corp Affairs,L3 Mktg Intl GTMPart Comms,U010,CORPORATE MKT OTHER,Q3 FY25,-986108,-650831.28,0,-335276.72,-197221.6,-67055.344,-130166.256,-143182.8816,-788886.4,-340404.4816,EMC,-199136.6217,-311470.1007
U010001510,L2 Mktg Corp Affairs,L3 Mktg Chairman Comms,U010,CORPORATE MKT OTHER,Q3 FY25,4956291.34,2825086.064,0,2131205.276,4658913.86,2003332.96,2655580.9,2921138.99,297377.4804,7580052.85,EMC,377389.8653,590276.4559
U010001511,L2 Mktg BU Mktg,L3 Mktg Insights,U010,CORPORATE MKT,Q3 FY25,-9120157.84,-7843335.742,0,-1276822.098,-5198489.969,-727788.5956,-4470701.373,-4917771.51,-3921667.871,-10116261.48,EMC,-13587736.47,-1852873.155
U010001512,L2 Mktg Corp Affairs,L3 Mktg Corp BU PR,U010,CORPORATE MKT OTHER,Q3 FY25,-3147124.24,-3021239.27,0,-125884.9696,-2800940.574,-112037.6229,-2688902.951,-2957793.246,-346183.6664,-5758733.819,EMC,-1143335.13,-2544842.709
U010001515,L2 Mktg Field Partner AMER,L3 Mktg FP NA,U010,CORPORATE MKT OTHER,Q3 FY25,2857633.16,1743156.228,0,1114476.932,57152.6632,22289.53865,34863.12455,38349.43701,2800480.497,95502.10021,EMC,2048520.049,577787.7063
U010001517,L2 Mktg Central,L3 Mktg Development,U010,CORPORATE MKT OTHER,Q3 FY25,9930507.36,8738846.477,0,1191660.883,2383321.766,285998.612,2097323.154,2307055.47,7547185.594,4690377.236,EMC,1266401.854,12804729.86
U010001518,L2 Mktg BU Mktg,L3 Mktg Strategy Ops SSvs,U010,CORPORATE MKT OTHER,Q3 FY25,3561184.76,178059.238,0,3383125.522,3383125.522,3213969.246,169156.2761,186071.9037,178059.238,3569197.426,EMC,1641830.816,86412.1482
U010001526,L2 Mktg BU Mktg,L3 Mktg Services DFS Mktg,U010,CORPORATE MKT OTHER,Q3 FY25,-7564484.55,-5975942.795,0,-1588541.756,-7488839.705,-1572656.338,-5916183.367,-6507801.703,-75644.8455,-13996641.41,EMC,-5723071.153,-497658.3612
U010001528,L2 Mktg BU Mktg,L3 Mktg CSG Pan Dell MSGNG,U010,CORPORATE MKT OTHER,Q3 FY25,8940657.6,7599558.96,0,1341098.64,89406.576,13410.9864,75995.5896,83595.14856,8851251.024,173001.7246,EMC,15743156.93,0
U010001531,L2 Mktg Field Partner AMER,L3 Mktg FP NA,U010,CORPORATE MKT OTHER,Q3 FY25,-334540.91,-60217.3638,0,-274323.5462,-133816.364,-109729.4185,-24086.94552,-26495.64007,-200724.546,-160312.0041,EMC,-165922.9242,-18435.88047
U010001532,L2 Mktg BU Mktg,L3 Mktg Insights,U010,CORPORATE MKT OTHER,Q3 FY25,10485918.3,3984648.954,0,6501269.346,5242959.15,3250634.673,1992324.477,2191556.925,5242959.15,7434516.075,EMC,2915817.204,2585724.691
U010001534,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,CORPORATE MKT OTHER,Q3 FY25,4979287.08,2738607.894,0,2240679.186,697100.1912,313695.086,383405.1052,421745.6157,4282186.889,1118845.807,EMC,2033102.666,2202527.888
U010001537,L2 Mktg Field Partner AMER,L3 Mktg FP NA,U010,CORPORATE MKT OTHER,Q3 FY25,827561.54,91031.7694,0,736529.7706,802734.6938,714433.8775,88300.81632,97130.89795,24826.8462,899865.5917,EMC,363657.0226,285730.5178
U010001538,L2 Mktg Field Partner AMER,L3 Mktg FP NA,U010,CORPORATE MKT OTHER,Q3 FY25,0,0,0,0,0,0,0,0,0,0,EMC,0,0
U010001540,L2 Mktg Brand,L3 Mktg Campaigns,U010,CORPORATE MKT,Q3 FY25,9284111.76,9005588.407,0,278523.3528,742728.9408,22281.86822,720447.0726,792491.7798,8541382.819,1535220.721,EMC,5760915.754,9399388.862
U010001541,L2 Mktg BU Mktg,L3 Mktg A PM,U010,CORPORATE MKT OTHER,Q3 FY25,7435620.47,966630.6611,0,6468989.809,1635836.503,1423177.758,212658.7454,233924.62,5799783.967,1869761.123,EMC,169978.2839,3229587.395
U010001542,L2 Mktg Central,L3 Mktg Development,U010,CORPORATE MKT OTHER,Q3 FY25,-4285489,-1928470.05,0,-2357018.95,-2014179.83,-1107798.907,-906380.9235,-997019.0159,-2271309.17,-3011198.846,EMC,-941800.4901,-19220.41817
U010001545,L2 Mktg Field Partner AMER,L3 Mktg FP NA,U010,SBU MKT CS,Q3 FY25,9940102.98,5765259.728,0,4174843.252,8449087.533,3548616.764,4900470.769,5390517.846,1491015.447,13839605.38,EMC,3432222.134,6662548.848
U010001547,L2 Mktg BU Mktg,L3 Mktg Events,U010,CORPORATE MKT OTHER,Q3 FY25,-8560962.24,-428048.112,0,-8132914.128,-4622919.61,-4391773.629,-231145.9805,-254260.5785,-3938042.63,-4877180.188,EMC,-3576598.805,-397399.8672
U010001548,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q3 FY25,-4284939.84,-3213704.88,0,-1071234.96,-1028385.562,-257096.3904,-771289.1712,-848418.0883,-3256554.278,-1876803.65,EMC,-109480.2129,-281520.5475
U010001549,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q3 FY25,5141003.24,5141003.24,0,0,1542300.972,0,1542300.972,1696531.069,3598702.268,3238832.041,EMC,2814545.044,748170.2015
U010001550,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q3 FY25,8352183.6,6681746.88,0,1670436.72,6681746.88,1336349.376,5345397.504,5879937.254,1670436.72,12561684.13,EMC,10925524.78,222969.8934
U010001551,L2 Mktg Corp Affairs,L3 Mktg Social Business,U010,CORPORATE MKT OTHER,Q3 FY25,-4469820.18,-3039477.722,0,-1430342.458,-89396.4036,-28606.84915,-60789.55445,-66868.50989,-4380423.776,-156264.9135,EMC,-3375322.131,-140638.4221
U010001553,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q3 FY25,10499111.7,7349378.19,0,3149733.51,7769342.658,2330802.797,5438539.861,5982393.847,2729769.042,13751736.5,EMC,6452166.101,5069559.079
U010001559,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q3 FY25,486071.94,247896.6894,0,238175.2506,447186.1848,219121.2306,228064.9542,250871.4497,38885.7552,698057.6345,EMC,8498.092941,6677.073025
U010001564,L2 Mktg BU Mktg,L3 Mktg CSG Pan Dell MSGNG,U010,CORPORATE MKT OTHER,Q3 FY25,8323197.49,8073501.565,0,249695.9247,6492094.042,194762.8213,6297331.221,6927064.343,1831103.448,13419158.39,EMC,2018034.973,906653.3935
U010001566,L2 Mktg BU Mktg,L3 Mktg Analyst Relations,U010,CORPORATE MKT OTHER,Q3 FY25,9828779.4,7666447.932,0,2162331.468,3145209.408,691946.0698,2453263.338,2698589.672,6683569.992,5843799.08,EMC,9140066.999,2730149.883
U010001567,L2 Mktg Brand,L3 Mktg Digital,U010,CORPORATE MKT,Q3 FY25,-2861047.06,-57220.9412,0,-2803826.119,-1802459.648,-1766410.455,-36049.19296,-39654.11225,-1058587.412,-1842113.76,EMC,-352925.6045,-1723107.363
U010001568,L2 Mktg Glb SB GDC,L3 Mktg CDMT,U010,CORPORATE MKT OTHER,Q3 FY25,-7105760.48,-142115.2096,0,-6963645.27,-923748.8624,-905273.8852,-18474.97725,-20322.47497,-6182011.618,-944071.3374,EMC,-522870.2792,-203338.4419
U010001570,L2 Mktg Corp Affairs,L3 Mktg Intl GTMPart Comms,U010,CORPORATE MKT OTHER,Q3 FY25,-9091633,-3909402.19,0,-5182230.81,-1090995.96,-621867.6972,-469128.2628,-516041.0891,-8000637.04,-1607037.049,EMC,-4537201.269,-1355267.911
U010001571,L2 Mktg BU Mktg,L3 Mktg GFP Partner,U010,CORPORATE MKT OTHER,Q3 FY25,8008861.26,6166823.17,0,1842038.09,2402658.378,552611.4269,1850046.951,2035051.646,5606202.882,4437710.024,EMC,7418371.924,1309124.457
U010001572,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q3 FY25,-9269426.25,-556165.575,0,-8713260.675,-8620566.413,-8103332.428,-517233.9848,-568957.3832,-648859.8375,-9189523.796,EMC,-3217321.449,-4094772.754
U010001574,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,CORPORATE MKT OTHER,Q3 FY25,7457138.05,4101425.928,0,3355712.123,1416856.23,637585.3033,779270.9262,857198.0188,6040281.821,2274054.248,EMC,624766.483,9788008.233
U010001575,L2 Mktg BU Mktg,L3 Mktg Strategy Ops SSvs,U010,CORPORATE MKT OTHER,Q3 FY25,-6738228.12,-5255817.934,0,-1482410.186,-6401316.714,-1408289.677,-4993027.037,-5492329.741,-336911.406,-11893646.45,EMC,-5370920.346,-4394389.374
U010001577,L2 Mktg Glb SB GDC,L3 Mktg GFP GBICP,U010,CORPORATE MKT OTHER,Q3 FY25,-298753.52,-188214.7176,0,-110538.8024,-47800.5632,-17686.20838,-30114.35482,-33125.7903,-250952.9568,-80926.3535,EMC,-134034.273,-118860.5817
U010001582,L2 Mktg Glb SB GDC,L3 Mktg CDMT,U010,CORPORATE MKT OTHER,Q3 FY25,0,0,0,0,0,0,0,0,0,0,EMC,0,0
U010001586,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q3 FY25,-2838371.12,-2157162.051,0,-681209.0688,-1958476.073,-470034.2575,-1488441.815,-1637285.997,-879895.0472,-3595762.07,EMC,-2438864.708,-2251259.731
U010001589,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q3 FY25,3684949.45,2321518.154,0,1363431.297,2395217.143,886230.3427,1508986.8,1659885.48,1289732.308,4055102.622,EMC,4261600.925,1914632.3
U010001590,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q3 FY25,1379512.71,1296741.947,0,82770.7626,386263.5588,23175.81353,363087.7453,399396.5198,993249.1512,785660.0786,EMC,481497.391,612814.8613
U010001594,L2 Mktg BU Mktg,L3 Mktg CSG Pan Dell MSGNG,U010,CORPORATE MKT OTHER,Q3 FY25,8673070.74,1387691.318,0,7285379.422,7458840.836,6265426.303,1193414.534,1312755.987,1214229.904,8771596.824,EMC,3794225.603,2325493.111
U010001595,L2 Mktg BU Mktg,L3 Mktg Insights,U010,CORPORATE MKT OTHER,Q3 FY25,-5859619.95,-3750156.768,0,-2109463.182,-937539.192,-337514.1091,-600025.0829,-660027.5912,-4922080.758,-1597566.783,EMC,0,0
U010001596,L2 Mktg BU Mktg,L3 Mktg Insights,U010,CORPORATE MKT OTHER,Q3 FY25,-2034047.4,-1688259.342,0,-345788.058,-1566216.498,-266256.8047,-1299959.693,-1429955.663,-467830.902,-2996172.161,EMC,-1402364.217,-1243606.003
U010001597,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q3 FY25,0,0,0,0,0,0,0,0,0,0,EMC,0,0
IE10001168,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,IE10,CORPORATE MKT OTHER,Q2 FY25,1077361.559,926530.9411,0,150830.6183,743379.476,104073.1266,639306.3493,703236.9843,333982.0834,1446616.46,EMC,148854.7372,1339692.635
IE10001204,L2 Mktg Field Partner EMEA,L3 Mktg FP EMEA,IE10,CORPORATE MKT OTHER,Q2 FY25,3000000,660000,0,2340000,2190000,1708200,481800,529980,810000,2719980,EMC,32416.2,3209203.8
U009000052,L2 Mktg Field Partner AMER,L3 Mktg FP NA,U009,CORPORATE MKT OTHER,Q2 FY25,8437939.93,168758.7986,0,8269181.131,2278243.781,2232678.905,45564.87562,50121.36318,6159696.149,2328365.144,Dell,350117.1291,253533.0935
U009000053,L2 Mktg Field Partner AMER,L3 Mktg FP NA,U009,CORPORATE MKT OTHER,Q2 FY25,10000000,10000000,0,0,3400000,0,3400000,3740000,6600000,7140000,Dell,0,0
U010001426,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q2 FY25,-2021064.084,-1050953.324,0,-970110.7604,-1455166.141,-698479.7475,-756686.3931,-832355.0324,-565897.9436,-2287521.173,EMC,-644318.4637,-1007780.161
U010001427,L2 Mktg BU Mktg,L3 Mktg Executive,U010,CORPORATE MKT OTHER,Q2 FY25,2179390.167,152557.3117,0,2026832.855,1634542.625,1520124.641,114417.9838,125859.7821,544847.5417,1760402.407,EMC,938881.2839,1408321.926
U010001429,L2 Mktg BU Mktg,L3 Mktg GFP Partner,U010,CORPORATE MKT OTHER,Q2 FY25,28227000,18065280,0,10161720,24557490,8840696.4,15716793.6,17288472.96,3669510,41845962.96,EMC,1736366.969,7402406.551
U010001430,L2 Mktg Brand,L3 Mktg Digital,U010,CORPORATE MKT,Q2 FY25,13500000,6075000,0,7425000,11205000,6162750,5042250,5546475,2295000,16751475,EMC,6975072,12400128
U010001432,L2 Mktg Field Partner AMER,L3 Mktg FP NA,U010,CORPORATE MKT OTHER,Q2 FY25,-104030000,-83224000,0,-20806000,-39531400,-7906280,-31625120,-34787632,-64498600,-74319032,EMC,-99509272.32,-88244071.68
U010001433,L2 Mktg BU Mktg,L3 Mktg GFP Partner,U010,CORPORATE MKT OTHER,Q2 FY25,11989200,2877408,0,9111792,10190820,7745023.2,2445796.8,2690376.48,1798380,12881196.48,EMC,95472.39744,359158.0666
U010001435,L2 Mktg BU Mktg,L3 Mktg Services DFS Mktg,U010,CORPORATE MKT OTHER,Q2 FY25,10830000,6498000,0,4332000,9747000,3898800,5848200,6433020,1083000,16180020,EMC,4440516.6,7245053.4
U010001436,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q2 FY25,13230000,926100,0,12303900,1852200,1722546,129654,142619.4,11377800,1994819.4,EMC,8798578.425,4737696.075
U010001437,L2 Mktg Brand,L3 Mktg Experiential,U010,CORPORATE MKT,Q2 FY25,12295200,3565608,0,8729592,8729592,6198010.32,2531581.68,2784739.848,3565608,11514331.85,EMC,6227469.619,6746425.421
U010001438,L2 Mktg BU Mktg,L3 Mktg CSG Pan Dell MSGNG,U010,CORPORATE MKT OTHER,Q2 FY25,-2802821.836,-336338.6203,0,-2466483.216,-2214229.251,-1948521.741,-265707.5101,-292278.2611,-588592.5856,-2506507.512,EMC,-1059396.023,-622184.9659
